dataset,method,PSNR,SSIM,LPIPS-alex
bouncingballs,ours_20000,40.593475341796875,0.9943357706069946,0.005995250307023525
standup,ours_20000,37.77936553955078,0.9893020391464233,0.007886609993875027
mutant,ours_20000,37.48237609863281,0.9876767992973328,0.008907550945878029
jumpingjacks,ours_20000,35.22380065917969,0.9852128028869629,0.01348075270652771
trex,ours_20000,33.81821060180664,0.9839696884155273,0.013931646943092346
hook,ours_20000,32.83802032470703,0.9762191772460938,0.0166764035820961
hellwarrior,ours_20000,28.619461059570312,0.9730662107467651,0.02415325678884983
lego,ours_20000,25.049217224121094,0.9381420016288757,0.038240112364292145
