dataset,method,PSNR,SSIM,LPIPS-alex
bouncingballs,ours_20000,40.58976364135742,0.9942182302474976,0.00636924197897315
standup,ours_20000,37.99736785888672,0.989733099937439,0.007161119021475315
mutant,ours_20000,37.80376434326172,0.9881883859634399,0.00831566657871008
jumpingjacks,ours_20000,35.153987884521484,0.9855817556381226,0.013125943019986153
trex,ours_20000,33.940818786621094,0.9843693971633911,0.013134680688381195
hook,ours_20000,32.98992919921875,0.9768974184989929,0.016264772042632103
hellwarrior,ours_20000,28.799591064453125,0.9738257527351379,0.02444351091980934
lego,ours_20000,25.021900177001953,0.9380443692207336,0.03705144673585892
