dataset,method,PSNR,SSIM,LPIPS-alex
bouncingballs,ours_20000,40.65904998779297,0.9943515658378601,0.005760819651186466
standup,ours_20000,38.221275329589844,0.9899626970291138,0.007377229630947113
mutant,ours_20000,37.5880126953125,0.9878695607185364,0.008548342622816563
jumpingjacks,ours_20000,35.19327926635742,0.9852442741394043,0.013070106506347656
trex,ours_20000,33.99592971801758,0.9845142364501953,0.013620711863040924
hook,ours_20000,32.757572174072266,0.9761701822280884,0.016727518290281296
hellwarrior,ours_20000,28.741329193115234,0.9733090400695801,0.024258309975266457
lego,ours_20000,25.069448471069336,0.9380923509597778,0.03797821328043938
